movie_id,date,daily_box_office
7,2023-02-04,12067.38
7,2023-02-05,10373.44
7,2023-02-06,3797.62
7,2023-02-07,3044.4
7,2023-02-08,2569.15
7,2023-02-09,2263.78
7,2023-02-10,2846.87
7,2023-02-11,5131.22
7,2023-02-12,3765.79
7,2023-02-13,1554.92
7,2023-02-14,4937.24
7,2023-02-15,1314.22
7,2023-02-16,1119.14
7,2023-02-17,1289.46
7,2023-02-18,2604.58
7,2023-02-19,1885.4
7,2023-02-20,671.59
7,2023-02-21,650.07
7,2023-02-22,626.11
7,2023-02-23,601.8
7,2023-02-24,781.19
7,2023-02-25,1565.74
7,2023-02-26,1118.12
7,2023-02-27,413.15
7,2023-02-28,393.08
7,2023-03-01,358.47
7,2023-03-02,329.23
7,2023-03-03,429.35
7,2023-03-04,911.55
7,2023-03-05,631.55
7,2023-03-06,229.11
7,2023-03-07,250.11
7,2023-03-08,504.22
7,2023-03-09,208.09
7,2023-03-10,163.4
7,2023-03-11,375.76
7,2023-03-12,287.54
7,2023-03-13,92.73
7,2023-03-14,86.9
7,2023-03-15,91.81
7,2023-03-16,89.61
7,2023-03-17,70.5
7,2023-03-18,169.04
7,2023-03-19,135.67
7,2023-03-20,51.82
7,2023-03-21,52.51
7,2023-03-22,54.07
7,2023-03-23,54.83
7,2023-03-24,21.96
7,2023-03-25,45.53
7,2023-03-26,42.68
7,2023-03-27,14.38
7,2023-03-28,16.1
7,2023-03-29,15.59
8,2021-02-12,92353.51
8,2021-02-13,74777.24
8,2021-02-14,68562.75
8,2021-02-15,39969.77
8,2021-02-16,28684.88
8,2021-02-17,21209.37
8,2021-02-18,14925.05
8,2021-02-19,10268.67
8,2021-02-20,8717.32
8,2021-02-21,7891.28
8,2021-02-22,4597.05
8,2021-02-23,3963.56
8,2021-02-24,3418.12
8,2021-02-25,3166.08
8,2021-02-26,3989.87
8,2021-02-27,4417.88
8,2021-02-28,3243.41
8,2021-03-01,1292.68
8,2021-03-02,1148.34
8,2021-03-03,988.28
8,2021-03-04,889.34
8,2021-03-05,1077.44
8,2021-03-06,2091.8
8,2021-03-07,1592.92
8,2021-03-08,1089.49
8,2021-03-09,521.73
8,2021-03-10,481.02
8,2021-03-11,446.1
8,2021-03-12,485.76
8,2021-03-13,1045.27
8,2021-03-14,846.72
8,2021-03-15,278.05
8,2021-03-16,265.03
8,2021-03-17,248.43
8,2021-03-18,235.65
8,2021-03-19,214.79
8,2021-03-20,570.4
8,2021-03-21,463.18
8,2021-03-22,165.59
8,2021-03-23,159.95
8,2021-03-24,149.95
8,2021-03-25,145.76
8,2021-03-26,110.54
8,2021-03-27,253.4
8,2021-03-28,195.31
8,2021-03-29,77.25
8,2021-03-30,76.05
8,2021-03-31,82.21
8,2021-04-01,79.95
8,2021-04-02,27.87
8,2021-04-03,31.2
8,2021-04-04,51.79
8,2021-04-05,29.53
8,2021-04-06,10.5
8,2021-04-07,11.1
8,2021-04-08,9.99
8,2021-04-09,8.05
8,2021-04-10,25
8,2021-04-11,15.94
8,2021-04-12,8.83
8,2021-04-13,10.41
8,2021-04-14,12.39
8,2021-04-15,15.66
8,2021-04-16,11.64
8,2021-04-17,12.62
8,2021-04-18,12.35
8,2021-04-19,6.2
8,2021-04-20,5.69
9,2019-04-24,51141.76
9,2019-04-25,30206.69
9,2019-04-26,40444.58
9,2019-04-27,52432.29
9,2019-04-28,19918.48
9,2019-04-29,11958.72
9,2019-04-30,24376.14
9,2019-05-01,47569.34
9,2019-05-02,32298.48
9,2019-05-03,22867.98
9,2019-05-04,12953.76
9,2019-05-05,4867.66
9,2019-05-06,3215.71
9,2019-05-07,2707.96
9,2019-05-08,2293.02
9,2019-05-09,1955.2
9,2019-05-10,2655.37
9,2019-05-11,5230.26
9,2019-05-12,3731.19
9,2019-05-13,1154.66
9,2019-05-14,1027.1
9,2019-05-15,930.23
9,2019-05-16,856.73
9,2019-05-17,1066.36
9,2019-05-18,2201.98
9,2019-05-19,1817.93
9,2019-05-20,1136.15
9,2019-05-21,596.85
9,2019-05-22,508.46
9,2019-05-23,567.34
10,2022-02-01,58170.87
10,2022-02-02,43309.3
10,2022-02-03,40351.02
10,2022-02-04,33199.2
10,2022-02-05,30974.97
10,2022-02-06,26827.17
10,2022-02-07,17553.83
10,2022-02-08,13329.74
10,2022-02-09,10556.39
10,2022-02-10,8624.47
10,2022-02-11,7958.43
10,2022-02-12,9776.5
10,2022-02-13,8097.21
10,2022-02-14,9983.77
10,2022-02-15,5763.72
10,2022-02-16,3452.78
10,2022-02-17,2832.51
10,2022-02-18,3212.26
10,2022-02-19,4754.67
10,2022-02-20,3557.27
10,2022-02-21,1544.65
10,2022-02-22,1669.31
10,2022-02-23,1509.37
10,2022-02-24,1463.26
10,2022-02-25,1853.86
10,2022-02-26,2620.83
10,2022-02-27,2010.22
10,2022-02-28,1233.12
10,2022-03-01,1264.82
10,2022-03-02,1028.46
10,2022-03-03,979.66
10,2022-03-04,1193.68
10,2022-03-05,1819.71
10,2022-03-06,1466.89
10,2022-03-07,669.49
10,2022-03-08,1145.72
10,2022-03-09,594.8
10,2022-03-10,550.24
10,2022-03-11,618
10,2022-03-12,1111.84
10,2022-03-13,886
10,2022-03-14,308.19
10,2022-03-15,302.13
10,2022-03-16,301.66
10,2022-03-17,296.67
10,2022-03-18,280.61
10,2022-03-19,368.84
10,2022-03-20,296.33
10,2022-03-21,182.88
10,2022-03-22,181.43
10,2022-03-23,182.09
10,2022-03-24,179.13
10,2022-03-25,178.52
10,2022-03-26,248.33
10,2022-03-27,197.24
10,2022-03-28,133.31
10,2022-03-29,136.61
10,2022-03-30,141.31
10,2022-03-31,135.38
10,2022-04-01,130.74
10,2022-04-02,133.18
10,2022-04-03,153.44
10,2022-04-04,141.43
10,2022-04-05,124.26
10,2022-04-06,72.42
10,2022-04-07,91.07
10,2022-04-08,76.38
10,2022-04-09,72.23
10,2022-04-10,68.63
10,2022-04-11,38.31
10,2022-04-12,39.43
10,2022-04-13,41.49
10,2022-04-14,39.88
10,2022-04-15,39.34
10,2022-04-16,53.15
10,2022-04-17,52.94
10,2022-04-18,27.83
10,2022-04-19,27.75
10,2022-04-20,27.71
10,2022-04-21,29.41
10,2022-04-22,30.89
10,2022-04-23,39.53
10,2022-04-24,33.21
10,2022-04-25,21.27
10,2022-04-26,21.37
10,2022-04-27,21.19
10,2022-04-28,22
10,2022-04-29,24.06
10,2022-04-30,39.3
10,2022-05-01,51.8
10,2022-05-02,41.68
10,2022-05-03,28.87
10,2022-05-04,15.85
